family	role	design	target_site	actual_contrast	outcome_window	disposition	principal_boundary
Fuschi 2025	Direct	Randomised; n=195	Vascular pedicles; bilateral intrafascial NVB	Cold scissors + Hem-o-lok vs brief mono/bipolar touch cautery	IIEF-5 30-180 d; continence 15-90 d	Single randomised trajectory	Overall high RoB; single surgeon; short follow-up
Hofmann 2022	Direct	Retrospective concomitant cohort; n=551	Pedicles, 2-4 mm from prostate	Suture ligation vs cut-and-touch monopolar cautery	Potency about 54 mo; blood loss	Long-term pool; perioperative display	Anatomy-based selection and attrition
Basourakos 2022	Direct	Retrospective sequential cohort; n=338	Lateral prostatic pedicle	Hem-o-lok + cold scissors vs Maryland bipolar	Potency >2 y; blood loss; operative time	Long-term pool; perioperative display	Era, nerve-sparing, and responder selection
Ahlering 2005-2009	Direct	Sequential historical cohort; overlapping reports	Pedicle and NVB	Temporary occlusion/suture + cautery-free dissection vs cautery	Potency 3-24 mo	Individual 3-mo effects; long-term pool	Learning curve, overlap, changing denominators
Joseph 2006	Direct	Non-randomised comparative abstract; n=30	NVB-preserving vessel control	Weck clips vs bipolar cautery	Potency 3 mo	Individual effects; no pool	Very small, unadjusted, incomplete reporting
GESTURE 2025	Contextual	Prospective multicentre video cohort; n=157	NVB gestures	Continuous annotated energy-on-NVB exposure	Potency 12 mo	Contextual narrative only	No arm-level contrast; anatomy and tissue handling confounded
Guimaraes 2019	Contextual	Sequential matched cohort; n=684	Pedicle and NVB surgical package	Clipless cautious-bipolar package vs earlier standard technique	Potency and continence to 12 mo	Contextual narrative only	Route, reconstruction, era, and energy changed together
Jiang 2014	Contextual	Retrospective cohort; n=240	Bilateral NVB	Composite athermality/completeness score	Potency at least 24 mo	Contextual gradient only	Composite exposure combines energy and technical quality
Fagin 2007	Contextual	Sequential single-surgeon cohort; n=300	Pedicle and NVB	Selective bipolar vs evolving athermal techniques	Potency 3 mo	Contextual technique-evolution only	Dissection plane and learning curve changed
Ferrari 2016	Contextual	Historical comparison; n=140	Early posterior/lateral NVB release	Energy-free early release vs historical standard	Potency 6 and 12 mo	Contextual narrative only	Release timing, plane, era, and energy changed together
